date,actual,predicted,train_mean,y_train_mean,inner_idx,sstart,window_end
2015-09-01,-0.00447532,0.0027982198075022003,0.0012765490117647058,0.0012765490117647058,0,50,2016-10-01
2015-10-01,0.000610204,0.0016081528414877181,0.0012471592117647057,0.0012471592117647057,0,51,2016-11-01
2015-11-01,0.002315494,0.0014493468509852497,0.0012639790352941176,0.0012639790352941176,0,52,2016-12-01
2015-12-01,0.001801736,0.0009515960407253832,0.001290291905882353,0.001290291905882353,0,53,2017-01-01
2016-01-01,0.005338494,0.004959817729595591,0.0014432650470588232,0.0014432650470588232,0,54,2017-02-01
2016-02-01,-0.002429846,0.003205462371403959,0.0016615895647058823,0.0016615895647058823,0,55,2017-03-01
2016-03-01,-0.003415126,0.003112401115860538,0.001732751482352941,0.001732751482352941,0,56,2017-04-01
2016-04-01,0.001675978,0.002078320305227094,0.001737259458823529,0.001737259458823529,0,57,2017-05-01
2016-05-01,-0.007620255,0.0014578833362198145,0.0018356724823529408,0.0018356724823529408,0,58,2017-06-01
2016-06-01,0.004776649,0.003927119786970693,0.0017825658352941176,0.0017825658352941176,0,59,2017-07-01
2016-07-01,0.007133884,-0.0010139161204722707,0.001861159023529412,0.001861159023529412,0,60,2017-08-01
2016-08-01,0.001774054,0.002067071423035739,0.001942339788235294,0.001942339788235294,0,61,2017-09-01
2016-09-01,0.004297368,0.0017642728291824123,0.001929202376470588,0.001929202376470588,0,62,2017-10-01
2016-10-01,8e-05,0.0015324388782965875,0.0019666962823529414,0.0019666962823529414,0,63,2017-11-01
2016-11-01,0.004279714,0.002970843538518171,0.0018913974117647056,0.0018913974117647056,0,64,2017-12-01
2016-12-01,0.002225108,-0.0007840224036614759,0.001923688494117647,0.001923688494117647,0,65,2018-01-01
2017-01-01,0.005805781,0.00027102988377972746,0.0018771300352941173,0.0018771300352941173,0,66,2018-02-01
2017-02-01,0.001959055,0.0016314021579286395,0.001917565811764706,0.001917565811764706,0,67,2018-03-01
2017-03-01,0.004181002,0.0025227544412143995,0.0018646084235294114,0.0018646084235294114,0,68,2018-04-01
2017-04-01,0.005276876,0.000584546208387508,0.0018762630352941172,0.0018762630352941172,0,69,2018-05-01
2017-05-01,0.003675369,0.005090125287762241,0.0018799499411764704,0.0018799499411764704,0,70,2018-06-01
2017-06-01,0.002311777,-0.0010380040011137895,0.0019337294470588233,0.0019337294470588233,0,71,2018-07-01
2017-07-01,0.001324458,0.0014795351503006135,0.0018959721176470582,0.0018959721176470582,0,72,2018-08-01
2017-08-01,-0.001318687,0.002946774707168898,0.0018850556705882352,0.0018850556705882352,0,73,2018-09-01
2017-09-01,0.002236284,0.001425213234558806,0.001862264764705882,0.001862264764705882,0,74,2018-10-01
2017-10-01,0.001338224,0.001292313644021778,0.0018508005058823528,0.0018508005058823528,0,75,2018-11-01
2017-11-01,0.004992827,0.0040769726861057025,0.0018645982823529406,0.0018645982823529406,0,76,2018-12-01
2017-12-01,0.002710201,0.0018522589760681244,0.0018722791529411763,0.0018722791529411763,0,77,2019-01-01
